Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.95 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260115-003531
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  0 |Ls: 0.0000 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    2 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  1 |Ls: 0.0000 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    3 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  2 |Ls: 0.0922 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    4 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  3 |Ls: 0.0650 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    5 |OrigR: 126.0 ShpR: 373.1 |X:  186.0( 186.0) AvgX100: 184.4 |AvgR: 369.3( 369.3)  0 |Ls: 0.0651 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    6 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.3 |AvgR: 369.1( 369.3)  1 |Ls: 0.0636 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    7 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.3 |AvgR: 369.0( 369.3)  2 |Ls: 0.0598 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    8 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.9( 369.3)  3 |Ls: 0.0518 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    9 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.8( 369.3)  4 |Ls: 0.0368 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   10 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.8( 369.3)  5 |Ls: 0.0280 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   11 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.7( 369.3)  6 |Ls: 0.0158 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   12 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.7( 369.3)  7 |Ls: 0.0121 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   13 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.2 |AvgR: 368.7( 369.3)  8 |Ls: 0.0097 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   14 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 186.0) AvgX100: 184.1 |AvgR: 368.6( 369.3)  9 |Ls: 0.0094 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   15 |OrigR: 197.0 ShpR: 524.2 |X:  261.0( 261.0) AvgX100: 189.3 |AvgR: 379.0( 379.0)  0 |Ls: 0.0091 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   16 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 189.1 |AvgR: 378.6( 379.0)  1 |Ls: 0.0089 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   17 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.8 |AvgR: 378.0( 379.0)  2 |Ls: 0.0088 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   18 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.5 |AvgR: 377.4( 379.0)  3 |Ls: 0.0088 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
